V4_0,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measureofwellbeing
7.42,year ending,April 2011 - March 2012,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
6.51,year ending,April 2011 - March 2012,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.44,year ending,April 2011 - March 2012,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
49.83,year ending,April 2011 - March 2012,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.22,year ending,April 2011 - March 2012,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.43,year ending,July 2011 - June 2012,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
6.25,year ending,July 2011 - June 2012,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.4,year ending,July 2011 - June 2012,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
50.21,year ending,July 2011 - June 2012,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.13,year ending,July 2011 - June 2012,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.45,year ending,October 2011 - September 2012,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.98,year ending,October 2011 - September 2012,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.28,year ending,October 2011 - September 2012,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
50.55,year ending,October 2011 - September 2012,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.19,year ending,October 2011 - September 2012,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.45,year ending,January 2012 - December 2012,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.85,year ending,January 2012 - December 2012,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.24,year ending,January 2012 - December 2012,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
50.74,year ending,January 2012 - December 2012,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.17,year ending,January 2012 - December 2012,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.46,year ending,April 2012 - March 2013,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.71,year ending,April 2012 - March 2013,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
17.1,year ending,April 2012 - March 2013,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.16,year ending,April 2012 - March 2013,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.03,year ending,April 2012 - March 2013,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.48,year ending,July 2012 - June 2013,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.64,year ending,July 2012 - June 2013,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
16.77,year ending,July 2012 - June 2013,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.33,year ending,July 2012 - June 2013,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.26,year ending,July 2012 - June 2013,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.49,year ending,October 2012 - September 2013,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.64,year ending,October 2012 - September 2013,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
16.52,year ending,October 2012 - September 2013,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.3,year ending,October 2012 - September 2013,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.54,year ending,October 2012 - September 2013,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.49,year ending,January 2013 - December 2013,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.65,year ending,January 2013 - December 2013,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
16.28,year ending,January 2013 - December 2013,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.34,year ending,January 2013 - December 2013,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.73,year ending,January 2013 - December 2013,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.51,year ending,April 2013 - March 2014,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.54,year ending,April 2013 - March 2014,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
15.92,year ending,April 2013 - March 2014,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.62,year ending,April 2013 - March 2014,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
26.92,year ending,April 2013 - March 2014,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.54,year ending,July 2013 - June 2014,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.31,year ending,July 2013 - June 2014,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
15.68,year ending,July 2013 - June 2014,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.5,year ending,July 2013 - June 2014,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
27.51,year ending,July 2013 - June 2014,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.56,year ending,October 2013 - September 2014,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.17,year ending,October 2013 - September 2014,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
15.42,year ending,October 2013 - September 2014,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.65,year ending,October 2013 - September 2014,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
27.76,year ending,October 2013 - September 2014,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.58,year ending,January 2014 - December 2014,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.98,year ending,January 2014 - December 2014,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
15.16,year ending,January 2014 - December 2014,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.63,year ending,January 2014 - December 2014,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
28.24,year ending,January 2014 - December 2014,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.61,year ending,April 2014 - March 2015,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.74,year ending,April 2014 - March 2015,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.81,year ending,April 2014 - March 2015,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.7,year ending,April 2014 - March 2015,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
28.75,year ending,April 2014 - March 2015,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.63,year ending,July 2014 - June 2015,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.63,year ending,July 2014 - June 2015,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.52,year ending,July 2014 - June 2015,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.92,year ending,July 2014 - June 2015,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
28.93,year ending,July 2014 - June 2015,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.65,year ending,October 2014 - September 2015,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.55,year ending,October 2014 - September 2015,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.41,year ending,October 2014 - September 2015,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
51.92,year ending,October 2014 - September 2015,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.12,year ending,October 2014 - September 2015,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
7.65,year ending,January 2015 - December 2015,K02000001,United Kingdom,mean-average,Mean Average,life-satisfaction,Life Satisfaction
4.5,year ending,January 2015 - December 2015,K02000001,United Kingdom,poor,Poor,life-satisfaction,Life Satisfaction
14.25,year ending,January 2015 - December 2015,K02000001,United Kingdom,fair,Fair,life-satisfaction,Life Satisfaction
52.12,year ending,January 2015 - December 2015,K02000001,United Kingdom,good,Good,life-satisfaction,Life Satisfaction
29.13,year ending,January 2015 - December 2015,K02000001,United Kingdom,very-good,Very good,life-satisfaction,Life Satisfaction
